requirement_id,role,policy_source_doc,source_section,requirement_text,mandatory,priority,due_stage,competency_area,related_task,related_assessment_topic,case_type,prerequisite_requirement_id
a529d626-2a29-4cd2-ad64-f8f0ecc530b7,Software Support Engineer,c5796d03-783a-40d0-a7d2-03b2bd112907,1.1 Passwords,Use 14+ character passwords and change every 90 days.,Y,High,Week1,Security,IT Setup,Security Quiz,standard,
d31ed550-dcba-4814-a059-34c35c06bc07,Software Support Engineer,b98ede60-ce5d-4ce0-9a5e-74244deec269,2.1 Internal Communication,Use Slack appropriately and observe response times.,Y,Medium,Week1,Communication,Comms Setup,Conduct Quiz,standard,
d7eb4a0a-55cf-4253-ab94-0485a2142c62,Branch/Team Manager,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,1.2 Our Values,"Embody transparency, innovation, accountability, and customer obsession.",Y,High,Week1,Culture,Onboarding,Values Quiz,standard,
fcdf741f-be23-47e5-973f-f32a01c91ea3,Branch/Team Manager,c5796d03-783a-40d0-a7d2-03b2bd112907,1.1 Passwords,Use 14+ character passwords and change every 90 days.,Y,High,Week1,Security,IT Setup,Security Quiz,standard,
d36f84b6-0352-493a-8fd3-eb958b2a14ea,Branch/Team Manager,b98ede60-ce5d-4ce0-9a5e-74244deec269,2.1 Internal Communication,Use Slack appropriately and observe response times.,Y,Medium,Week1,Communication,Comms Setup,Conduct Quiz,standard,
a51498d6-3bc3-40f6-b4e8-258313ab0d08,Data Analyst,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,1.2 Our Values,"Embody transparency, innovation, accountability, and customer obsession.",Y,High,Week1,Culture,Onboarding,Values Quiz,standard,
4c5b506c-fe52-4168-a018-1c5afb2c22c8,Data Analyst,c5796d03-783a-40d0-a7d2-03b2bd112907,1.1 Passwords,Use 14+ character passwords and change every 90 days.,Y,High,Week1,Security,IT Setup,Security Quiz,standard,
822e6387-325b-49f9-a6d9-0699b13bf34c,Data Analyst,b98ede60-ce5d-4ce0-9a5e-74244deec269,2.1 Internal Communication,Use Slack appropriately and observe response times.,Y,Medium,Week1,Communication,Comms Setup,Conduct Quiz,standard,
21bd0ae2-159a-4c89-a580-21694486e0f7,DevOps/IT Engineer,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,1.2 Our Values,"Embody transparency, innovation, accountability, and customer obsession.",Y,High,Week1,Culture,Onboarding,Values Quiz,standard,
86f43782-941e-43ed-a962-16702e52ecaf,DevOps/IT Engineer,c5796d03-783a-40d0-a7d2-03b2bd112907,1.1 Passwords,Use 14+ character passwords and change every 90 days.,Y,High,Week1,Security,IT Setup,Security Quiz,standard,
627f5821-a672-489d-abbb-f16664aaf770,DevOps/IT Engineer,b98ede60-ce5d-4ce0-9a5e-74244deec269,2.1 Internal Communication,Use Slack appropriately and observe response times.,Y,Medium,Week1,Communication,Comms Setup,Conduct Quiz,standard,
557c83ab-e777-409e-a620-c00c3338fb33,Sales Executive,52381d5f-d37a-4799-be9f-c0b54f1866f0,3.1 Software Installation,Install software only from the pre-approved company software repository.,Y,High,Week1,Security,IT Setup,Software Compliance,standard,
8657f2db-4d5b-4828-8921-8d644f3f95b5,Customer Support Executive,52381d5f-d37a-4799-be9f-c0b54f1866f0,3.1 Software Installation,Install software only from the pre-approved company software repository.,Y,High,Week1,Security,IT Setup,Software Compliance,standard,
e2490214-34ec-46fd-8543-0c2804b86c33,HR Executive,52381d5f-d37a-4799-be9f-c0b54f1866f0,3.1 Software Installation,Install software only from the pre-approved company software repository.,Y,High,Week1,Security,IT Setup,Software Compliance,standard,
953cbef3-4ad4-4151-ba93-17358a79c6fb,Finance Associate,52381d5f-d37a-4799-be9f-c0b54f1866f0,3.1 Software Installation,Install software only from the pre-approved company software repository.,Y,High,Week1,Security,IT Setup,Software Compliance,standard,
8c8116db-9c30-4db3-9de7-d03df0f1f287,Operations Coordinator,52381d5f-d37a-4799-be9f-c0b54f1866f0,3.1 Software Installation,Install software only from the pre-approved company software repository.,Y,High,Week1,Security,IT Setup,Software Compliance,standard,
c6f62fcd-8e14-41c7-b50d-3e9e4b567151,Marketing Executive,52381d5f-d37a-4799-be9f-c0b54f1866f0,3.1 Software Installation,Install software only from the pre-approved company software repository.,Y,High,Week1,Security,IT Setup,Software Compliance,standard,
24529196-2a6b-4e74-b6ec-558a8d6f8c88,Software Support Engineer,52381d5f-d37a-4799-be9f-c0b54f1866f0,3.1 Software Installation,Install software only from the pre-approved company software repository.,Y,High,Week1,Security,IT Setup,Software Compliance,standard,
13a781e3-435e-463d-9024-7b541543c758,Branch/Team Manager,52381d5f-d37a-4799-be9f-c0b54f1866f0,3.1 Software Installation,Install software only from the pre-approved company software repository.,Y,High,Week1,Security,IT Setup,Software Compliance,standard,
a3e6339a-76a6-44c1-b9ad-94a101606bd2,Data Analyst,52381d5f-d37a-4799-be9f-c0b54f1866f0,3.1 Software Installation,Install software only from the pre-approved company software repository.,Y,High,Week1,Security,IT Setup,Software Compliance,standard,
cbda51a6-5e2f-403e-897d-8456e8c399e1,DevOps/IT Engineer,52381d5f-d37a-4799-be9f-c0b54f1866f0,3.1 Software Installation,Install software only from the pre-approved company software repository.,Y,High,Week1,Security,IT Setup,Software Compliance,standard,
e0c1bb61-92f0-44bd-9702-8676e392ec7b,Sales Executive,f64abaf9-9d6e-4dcd-898e-85152253f2d7,1.1 Sourcing Leads,Source leads via LinkedIn and marketing funnels.,Y,High,Week2,Role Specific,Task,Assessment,standard,
efaf5017-d9da-4010-ace1-1eae0c20027c,Sales Executive,f64abaf9-9d6e-4dcd-898e-85152253f2d7,2.2 Proposal Creation,Use standard pricing tiers and official templates.,Y,High,Week2,Role Specific,Task,Assessment,standard,37e163e1-8b6e-40be-a755-e898cc6ab70f
dac44a88-96e7-4926-ac43-84864ccc3142,Sales Executive,f64abaf9-9d6e-4dcd-898e-85152253f2d7,3.2 Handoff,Complete the handoff form in CRM post-sale.,Y,High,Week2,Role Specific,Task,Assessment,standard,efaf5017-d9da-4010-ace1-1eae0c20027c
57e74d59-edd3-42bc-ade8-a75899050777,Customer Support Executive,b3790798-829a-4415-9f2f-b93d3ef303a0,1.1 Triage,Monitor Zendesk and categorize tickets by severity.,Y,High,Week2,Role Specific,Task,Assessment,standard,8657f2db-4d5b-4828-8921-8d644f3f95b5
2ad8715f-9e17-42d5-8e38-7cf6879dffe8,Customer Support Executive,b3790798-829a-4415-9f2f-b93d3ef303a0,1.2 Response Times,Acknowledge normal tickets within 4 hours.,Y,High,Week2,Role Specific,Task,Assessment,standard,57e74d59-edd3-42bc-ade8-a75899050777
81f99ec2-368f-4ef5-af01-4bada8620ac8,Customer Support Executive,b3790798-829a-4415-9f2f-b93d3ef303a0,4.2 Customer Satisfaction (CSAT),Maintain an average CSAT of 4.5/5.0.,Y,High,Week2,Role Specific,Task,Assessment,standard,2ad8715f-9e17-42d5-8e38-7cf6879dffe8
0ed4176a-2ace-45cd-997e-108554435f16,HR Executive,34130c47-b12c-4464-9e22-2690e28b6d49,1.1 Recruitment,Use standardized assessment rubrics for hiring.,Y,High,Week2,Role Specific,Task,Assessment,standard,
7fd8a367-e3c5-4d0c-91f0-bfb6aeb3d811,HR Executive,34130c47-b12c-4464-9e22-2690e28b6d49,4.2 Offboarding,Conduct exit interviews for departing employees.,Y,High,Week2,Role Specific,Task,Assessment,standard,
d843d8c0-efbb-4f2b-a692-4f18bfdd1917,HR Executive,528b3369-63e7-4357-b929-8fd003237024,3.1 Workplace Conflict,Mediate interpersonal conflicts.,Y,High,Week2,Role Specific,Task,Assessment,standard,
7554691a-afc3-4058-83b2-c42a16f2ef5d,Finance Associate,23dcc303-866e-405d-8003-60930bc5aa76,1.2 Salary Disbursal,Process payroll on the 25th of every month.,Y,High,Week2,Role Specific,Task,Assessment,standard,
863b7524-1ba8-4b44-a5c0-299afa089d9d,Finance Associate,23dcc303-866e-405d-8003-60930bc5aa76,3.1 Invoice Generation,Spot check 10% of generated invoices.,Y,High,Week2,Role Specific,Task,Assessment,standard,ea9ec934-4df2-4a10-9b54-2b243fb91be9
ea9ec934-4df2-4a10-9b54-2b243fb91be9,Finance Associate,23dcc303-866e-405d-8003-60930bc5aa76,4.1 Payment Terms,Log vendor invoices and adhere to Net 30 terms.,Y,High,Week2,Role Specific,Task,Assessment,standard,953cbef3-4ad4-4151-ba93-17358a79c6fb
d15eaca7-9090-454e-b45b-3f8d319dd5eb,Operations Coordinator,900bdd59-fb49-4c22-aad6-f15e956b6bf3,3.2 Operations Coordinator,Oversee daily administrative tasks.,Y,High,Week2,Role Specific,Task,Assessment,standard,
b1b4f3e7-cea6-4b31-9331-33d68270b656,Operations Coordinator,900bdd59-fb49-4c22-aad6-f15e956b6bf3,3.2 Operations Coordinator,Ensure office facilities operate smoothly.,Y,High,Week2,Role Specific,Task,Assessment,standard,
54a17289-0be8-41dc-b8e8-380f9b8d27c5,Operations Coordinator,c5796d03-783a-40d0-a7d2-03b2bd112907,4.1 Badges,Ensure all physical access uses ID badges.,Y,High,Week2,Role Specific,Task,Assessment,standard,
31efa16d-eeca-4e36-b30b-8bffa4a1cb63,Marketing Executive,900bdd59-fb49-4c22-aad6-f15e956b6bf3,1.2 Marketing Executive,Manage inbound marketing funnels.,Y,High,Week2,Role Specific,Task,Assessment,standard,
db8a3080-ad56-46f0-b28a-9f9720e4553b,Marketing Executive,900bdd59-fb49-4c22-aad6-f15e956b6bf3,1.2 Marketing Executive,Track marketing ROI to support sales.,Y,High,Week2,Role Specific,Task,Assessment,standard,48ec61f4-7e86-4ba4-a501-5fe9e741ba8a
48ec61f4-7e86-4ba4-a501-5fe9e741ba8a,Marketing Executive,f64abaf9-9d6e-4dcd-898e-85152253f2d7,1.1 Sourcing Leads,Provide funnels for Sales Executives.,Y,High,Week2,Role Specific,Task,Assessment,standard,31efa16d-eeca-4e36-b30b-8bffa4a1cb63
15f29794-88f2-4d14-8c4e-2b2e9645ef7c,Software Support Engineer,b3790798-829a-4415-9f2f-b93d3ef303a0,2.2 Escalation,Handle tickets escalated beyond 24 hours.,Y,High,Week2,Role Specific,Task,Assessment,standard,7971c028-9c21-4a42-9164-415db7eb3fde
2ccaa024-09b4-438f-9620-c9dc4fb60b18,Software Support Engineer,528b3369-63e7-4357-b929-8fd003237024,1.1 Technical Issues,Resolve bugs escalated by Customer Support.,Y,High,Week2,Role Specific,Task,Assessment,standard,15f29794-88f2-4d14-8c4e-2b2e9645ef7c
43fd556e-f359-48b4-9d02-a562ea9e2b43,Software Support Engineer,900bdd59-fb49-4c22-aad6-f15e956b6bf3,2.2 Software Support Engineer,Provide technical workarounds.,Y,High,Week2,Role Specific,Task,Assessment,standard,
897924ad-543d-4df7-bfee-04bc45c9ddd0,Branch/Team Manager,23dcc303-866e-405d-8003-60930bc5aa76,2.2 Approval Limits,Approve expenses up to $500.,Y,High,Week2,Role Specific,Task,Assessment,standard,
2ad24dde-8047-47bf-8501-b4046ae9d39c,Branch/Team Manager,9b4bf591-0efa-4d00-96cc-e6dea6656918,1.2 Approval Process,Approve leave requests exceeding 3 days.,Y,High,Week2,Role Specific,Task,Assessment,standard,
19dfeba9-ecb9-4a26-bfd7-d40af6506f4c,Branch/Team Manager,900bdd59-fb49-4c22-aad6-f15e956b6bf3,5.2 Branch/Team Manager,Conduct performance reviews and set objectives.,Y,High,Week2,Role Specific,Task,Assessment,standard,b61f49ca-bade-45d0-a265-7402c0af40fe
2e9cfe36-4215-4f59-885c-b73715db63ec,Data Analyst,24f753fe-bec2-4dc5-8fd0-a7c1531579e6,1.1 Customer Data,Access data only relevant to reporting tasks.,Y,High,Week2,Role Specific,Task,Assessment,standard,df01d8f8-a352-4346-afb6-6bfb9874dda9
8d82d9e5-b480-4719-81a6-1cfdcb1ce2c2,Data Analyst,24f753fe-bec2-4dc5-8fd0-a7c1531579e6,2.2 Data Anonymization,Anonymize data for product analytics.,Y,High,Week2,Role Specific,Task,Assessment,standard,2e9cfe36-4215-4f59-885c-b73715db63ec
b74f6398-ab3e-4ecd-ade6-35df0b22307d,Data Analyst,900bdd59-fb49-4c22-aad6-f15e956b6bf3,4.2 Data Analyst,Create BI dashboards.,Y,High,Week2,Role Specific,Task,Assessment,standard,8d82d9e5-b480-4719-81a6-1cfdcb1ce2c2
bf617de8-8f48-4385-94b4-3137819bcbd8,DevOps/IT Engineer,c5796d03-783a-40d0-a7d2-03b2bd112907,3.2 Response Protocol,Isolate affected systems within 30 mins of a breach.,Y,High,Week2,Role Specific,Task,Assessment,standard,634612ad-2294-4ff7-ac2e-8366710ce035
6b582efa-839c-4f0a-a1b9-19539bcad54e,DevOps/IT Engineer,24f753fe-bec2-4dc5-8fd0-a7c1531579e6,3.2 Deletion Requests,Process GDPR deletion requests within 14 days.,Y,High,Week2,Role Specific,Task,Assessment,standard,
0ec4a63f-bab9-4fcf-81d1-49f2aa80cf1b,DevOps/IT Engineer,528b3369-63e7-4357-b929-8fd003237024,2.2 System Outages,Initiate Critical Incident Response within 15 minutes.,Y,High,Week2,Role Specific,Task,Assessment,standard,
fa44c186-f84c-44e4-a313-5be702098f7f,Sales Executive,112bf738-fa06-4195-9b97-53ca502f2a36,1.1 Truthful Representation,Accurately represent SaaS platform features and pricing.,Y,High,Week2,Ethics,Sales,Compliance Quiz,standard,
d8ec94b9-e739-4323-a65c-ecda934fab91,Sales Executive,2426cc43-7f4c-4501-99b9-ccd75a9937da,1.1 Travel Approval,Obtain manager approval 14 days prior to business travel.,Y,Medium,Week3,Travel,Expenses,Travel Policy,standard,
892e95c1-5e0c-4f4b-b3dc-3060cb9ffd99,Sales Executive,112bf738-fa06-4195-9b97-53ca502f2a36,2.1 Respectful Communication,Honor prospect cold call opt-out requests within 24 hours.,Y,High,Week2,Communication,Outreach,Sales SOP,standard,
8d81218f-1336-4d40-85e8-bf19ded6d139,Customer Support Executive,0aba5371-e938-423d-ae76-c9b7f0534ee3,3.1 Customer Advisory Updates,Issue customer status updates every 30 mins during Sev 1 outages.,Y,High,Week3,Incident Management,Support,Status Protocols,standard,2ad8715f-9e17-42d5-8e38-7cf6879dffe8
b7a39152-0822-4791-b8ed-ebdb0b605540,Customer Support Executive,1cc155f4-34e8-46af-b062-bacb3b1263dc,1.2 Home Internet Requirements,Maintain broadband connection with min 50 Mbps download speed.,Y,Medium,Week1,Remote Work,Setup,IT Guidelines,standard,
e36a5634-6019-4b3d-afff-248c50e8acba,Customer Support Executive,2f34bf5e-bd64-4102-8de6-ddac8039effa,2.1 Accommodations Policy,Submit workplace accessibility accommodation requests to HR team.,N,Low,Week2,D&I,HR,Inclusion Guidelines,standard,
6fce8d2b-2115-4f01-841c-f7237df2d2e4,HR Executive,cb55362e-5175-4c26-86d7-edc2e6ae456f,1.1 Bi-Annual Review Schedule,Manage bi-annual review calendar in June and December.,Y,High,Week3,Performance,Reviews,HR Operations,standard,
75fa4555-8788-402d-b95c-2203211b9f27,HR Executive,2f34bf5e-bd64-4102-8de6-ddac8039effa,1.2 Diverse Hiring Practices,Ensure job descriptions use inclusive language and diverse shortlists.,Y,High,Week2,D&I,Recruitment,Hiring Rubrics,standard,
bee46173-cb5c-4a49-900d-138d00acd8f3,HR Executive,cb55362e-5175-4c26-86d7-edc2e6ae456f,4.1 Performance Improvement Plan (PIP),Co-develop 60-day PIP for employees with unsatisfactory ratings.,Y,High,Month1,Performance,Discipline,PIP SOP,standard,6fce8d2b-2115-4f01-841c-f7237df2d2e4
89c91358-e2a1-4597-ad7c-86c101cc8067,Finance Associate,2426cc43-7f4c-4501-99b9-ccd75a9937da,4.1 Submission Timeline,Process travel expense reports submitted within 15 days of travel.,Y,High,Week2,Finance,Reimbursements,Expense SOP,standard,
093ac1be-3507-4354-b8c1-010f0a89f221,Finance Associate,739264a9-0c2a-465b-81cb-2965966bdf76,2.1 Financial and Tax Records,Retain client invoices and financial records for a minimum of 7 years.,Y,High,Month1,Compliance,Record Keeping,Tax Compliance,standard,863b7524-1ba8-4b44-a5c0-299afa089d9d
0bf69a48-2e01-43be-b0a3-5006e12586d2,Finance Associate,2426cc43-7f4c-4501-99b9-ccd75a9937da,2.1 Meal Per Diem,Enforce meal per diem limit of $75 per day with itemized receipts.,Y,Medium,Week2,Finance,Audit,Per Diem Policy,standard,
917dafd2-9c13-4ad4-b42c-451267696669,Operations Coordinator,2426cc43-7f4c-4501-99b9-ccd75a9937da,1.2 Booking Channels,Book flights and lodging through official company travel portal.,Y,High,Week2,Operations,Travel Management,Portal SOP,standard,
a4ec4eda-1ab8-4d43-9ed7-beb1260eb6ce,Operations Coordinator,1cc155f4-34e8-46af-b062-bacb3b1263dc,4.1 Return Shipping Protocols,Provide pre-paid shipping labels to remote employees returning equipment.,Y,Medium,Week3,Logistics,Offboarding,Asset Return,standard,
46b1df53-7cfe-4cd9-b1cc-71d76801669c,Operations Coordinator,2f34bf5e-bd64-4102-8de6-ddac8039effa,2.2 Inclusive Facilities,Ensure office facilities meet accessibility guidelines.,Y,High,Month1,Facilities,D&I,Building Standards,standard,
00e05e65-2f26-4ae2-94cc-910eb08e38b4,Marketing Executive,112bf738-fa06-4195-9b97-53ca502f2a36,2.2 Competitive Statements,Avoid defamatory or unsubstantiated claims about competitors.,Y,High,Week2,Marketing Ethics,Content,Brand Standards,standard,
86c95569-b77f-4370-b364-e31e3af07a5a,Marketing Executive,2f34bf5e-bd64-4102-8de6-ddac8039effa,3.2 Meeting Participation,Participate in approved inclusion workshops up to 2 hours per month.,N,Low,Month1,D&I,Culture,Workshop Participation,standard,
fe0e2fee-06ae-4354-a7f7-1e70f34fdc80,Marketing Executive,2426cc43-7f4c-4501-99b9-ccd75a9937da,1.1 Travel Approval,Pre-approve marketing event travel with Branch/Team Manager.,Y,Medium,Week3,Travel,Events,Budget Approval,standard,
049788f7-06c1-4d65-b6ad-e0cb967cce4a,Software Support Engineer,0aba5371-e938-423d-ae76-c9b7f0534ee3,3.1 Customer Advisory Updates,Collaborate on customer status updates during Sev 1 outages.,Y,High,Week2,Incident Response,Support,Outage SOP,standard,
3aefe387-0235-4ac5-aab6-3dd177e5ef44,Software Support Engineer,52381d5f-d37a-4799-be9f-c0b54f1866f0,2.2 Repairs and Replacements,Report hardware malfunctions to IT within 24 hours.,Y,Medium,Week1,IT Support,Hardware,Equipment Policy,standard,
c28f944a-5023-43e7-bf57-8af8a0a235f1,Software Support Engineer,1cc155f4-34e8-46af-b062-bacb3b1263dc,3.1 Device Physical Security,Set screen locks to activate after 5 minutes of inactivity.,Y,High,Week1,Security,Remote Safety,Device Protocol,standard,
e7813935-46d8-4445-96e9-43c1b257a89f,Branch/Team Manager,2426cc43-7f4c-4501-99b9-ccd75a9937da,1.1 Travel Approval,Pre-approve team business travel requests 14 days in advance.,Y,High,Week2,Management,Approvals,Travel Governance,standard,
b61f49ca-bade-45d0-a265-7402c0af40fe,Branch/Team Manager,cb55362e-5175-4c26-86d7-edc2e6ae456f,1.2 Goal Setting (OKRs),Approve team member OKRs within first 2 weeks of each cycle.,Y,High,Week2,Performance,OKRs,Management SOP,standard,
08c34f95-8d92-4ce3-9e7b-dc6a02e2272d,Branch/Team Manager,112bf738-fa06-4195-9b97-53ca502f2a36,3.1 Lead Ownership Rules,Reassign sales leads uncontacted after 30 days.,Y,Medium,Month1,Sales Operations,Lead Allocation,CRM Rules,standard,
df01d8f8-a352-4346-afb6-6bfb9874dda9,Data Analyst,739264a9-0c2a-465b-81cb-2965966bdf76,1.2 Compliance Standards,Ensure analytics data handling complies with GDPR and CCPA.,Y,High,Week2,Data Governance,Analytics,Privacy SOP,standard,7b255607-ed4f-497b-9974-73eaeb2a51ef
90cd1063-3a8c-4ac3-bfa6-76ae9691dfcb,Data Analyst,52381d5f-d37a-4799-be9f-c0b54f1866f0,1.2 Asset Tagging,Ensure allocated IT hardware retains physical asset tags.,N,Low,Week1,Asset Management,IT,Policy Check,standard,
7b255607-ed4f-497b-9974-73eaeb2a51ef,Data Analyst,1cc155f4-34e8-46af-b062-bacb3b1263dc,3.2 Home Network Security,Secure remote Wi-Fi network with WPA3 encryption when working remotely.,Y,High,Week1,Security,Remote Work,Network Security,standard,
48768249-1c24-470f-aec3-a515f0558662,DevOps/IT Engineer,52381d5f-d37a-4799-be9f-c0b54f1866f0,1.1 Standard Issue,Oversee hardware allocation and provisioning for new hires.,Y,High,Week1,IT Operations,Provisioning,Equipment SOP,standard,
0358ea8b-bbd4-47fc-9214-361e4c88aa8c,DevOps/IT Engineer,739264a9-0c2a-465b-81cb-2965966bdf76,2.2 System and Audit Logs,Maintain network security and audit logs for at least 365 days.,Y,High,Week2,Security Logs,Audit,Log Retention,standard,
d48f3bda-2cad-4053-9bd8-90cec3e08c26,DevOps/IT Engineer,0aba5371-e938-423d-ae76-c9b7f0534ee3,1.2 Incident Commander,Act as Incident Commander for Severity 1 incidents.,Y,High,Week2,Incident Command,Ops,Severity SOP,standard,bf617de8-8f48-4385-94b4-3137819bcbd8
85ee7648-f36c-4f2f-81e4-7e79f973c130,Sales Executive,b98ede60-ce5d-4ce0-9a5e-74244deec269,1.2 Dress Code,Wear business attire when meeting clients.,Y,Medium,Week1,Conduct,Client Meeting,Dress Code Policy,standard,
7e456ada-bfd6-411a-abfb-3fca835f2168,Customer Support Executive,b3790798-829a-4415-9f2f-b93d3ef303a0,3.2 Status Updates,Provide customer status updates at least every 48 hours for ongoing issues.,Y,High,Week2,Communication,Ticket Management,Support Communication,standard,
eb4eefe8-c675-4ff4-9d7f-9aaa59a05fcb,HR Executive,34130c47-b12c-4464-9e22-2690e28b6d49,2.2 Health Benefits,Enroll full-time employees in health insurance after 90-day probation.,Y,Medium,Month1,Benefits,HR Operations,Health Insurance,standard,
91f96d00-3ad0-427a-871c-ce23823fac02,Finance Associate,23dcc303-866e-405d-8003-60930bc5aa76,1.1 Timesheets,Ensure hourly employee timesheets are approved by the 18th.,Y,High,Week3,Payroll,Timesheet Audit,Payroll SOP,standard,
46c4d4be-8a04-4004-97de-b58ad329e1e7,Operations Coordinator,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,3.1 Office Safety,Follow safety protocols and report suspicious hazards immediately.,Y,High,Week1,Safety,Facility Ops,Safety Quiz,standard,
779363a8-82d2-486b-aed6-dfafaa932878,Marketing Executive,b98ede60-ce5d-4ce0-9a5e-74244deec269,2.2 Social Media,Do not disclose confidential company info on personal social media.,Y,High,Week1,Compliance,Public Relations,Social Media Policy,standard,
7971c028-9c21-4a42-9164-415db7eb3fde,Software Support Engineer,b3790798-829a-4415-9f2f-b93d3ef303a0,2.1 First-Contact Resolution,Utilize internal knowledge base for troubleshooting before escalating.,Y,Medium,Week2,Troubleshooting,Knowledge Base,Support SOP,standard,e9272fa4-95b6-4d81-974e-9f5115c9234e
632375f3-59aa-4087-a9c1-5dc4301a3173,Branch/Team Manager,b98ede60-ce5d-4ce0-9a5e-74244deec269,3.2 Gifts and Entertainment,Approve or decline client gifts exceeding $50 in value.,Y,Medium,Month1,Governance,Ethics,Gift Approval,standard,
